"match_id","competition","match_date","home_team","away_team","score_home","score_away","result","home_possession","away_possession","home_team_id","away_team_id"
"537794","Premier League","2025-08-18 20:00:00+01","Leeds United FC","Everton FC","1","0","FINISHED","100","0","0","7"
"537804","Premier League","2025-08-22 20:00:00+01","West Ham United FC","Chelsea FC","1","5","FINISHED","16.67","83.33","1","46"
"537802","Premier League","2025-08-23 12:30:00+01","Manchester City FC","Tottenham Hotspur FC","0","2","FINISHED","0","100","2","47"
"537798","Premier League","2025-08-23 15:00:00+01","Brentford FC","Aston Villa FC","1","0","FINISHED","100","0","3","48"
"537799","Premier League","2025-08-23 15:00:00+01","Burnley FC","Sunderland AFC","2","0","FINISHED","100","0","4","49"
"537795","Premier League","2025-08-23 15:00:00+01","AFC Bournemouth","Wolverhampton Wanderers FC","1","0","FINISHED","100","0","5","50"
"537797","Premier League","2025-08-23 17:30:00+01","Arsenal FC","Leeds United FC","5","0","FINISHED","100","0","6","0"
"537800","Premier League","2025-08-24 14:00:00+01","Everton FC","Brighton & Hove Albion FC","2","0","FINISHED","100","0","7","51"
"537796","Premier League","2025-08-24 14:00:00+01","Crystal Palace FC","Nottingham Forest FC","1","1","FINISHED","50","50","8","52"
"537801","Premier League","2025-08-24 16:30:00+01","Fulham FC","Manchester United FC","1","1","FINISHED","50","50","9","53"
"544217","La Liga","2025-08-18 20:00:00+01","Elche CF","Real Betis Balompié","1","1","FINISHED","50","50","10","12"
"544218","La Liga","2025-08-19 20:00:00+01","Real Madrid CF","CA Osasuna","1","0","FINISHED","100","0","11","16"
"544225","La Liga","2025-08-22 20:30:00+01","Real Betis Balompié","Deportivo Alavés","1","0","FINISHED","100","0","12","54"
"544227","La Liga","2025-08-23 16:00:00+01","RCD Mallorca","RC Celta de Vigo","1","1","FINISHED","50","50","13","55"
"544222","La Liga","2025-08-23 18:30:00+01","Club Atlético de Madrid","Elche CF","1","1","FINISHED","50","50","14","10"
"544226","La Liga","2025-08-23 20:30:00+01","Levante UD","FC Barcelona","2","3","FINISHED","40","60","15","56"
"544223","La Liga","2025-08-24 16:00:00+01","CA Osasuna","Valencia CF","1","0","FINISHED","100","0","16","57"
"544230","La Liga","2025-08-24 18:30:00+01","Villarreal CF","Girona FC","5","0","FINISHED","100","0","17","58"
"544228","La Liga","2025-08-24 18:30:00+01","Real Sociedad de Fútbol","RCD Espanyol de Barcelona","2","2","FINISHED","50","50","18","59"
"544224","La Liga","2025-08-24 20:30:00+01","Real Oviedo","Real Madrid CF","0","3","FINISHED","0","100","19","11"
"536823","Serie A","2025-08-23 17:30:00+01","US Sassuolo Calcio","SSC Napoli","0","2","FINISHED","0","100","20","60"
"536819","Serie A","2025-08-23 17:30:00+01","Genoa CFC","US Lecce","0","0","FINISHED",NULL,NULL,"21","61"
"536816","Serie A","2025-08-23 19:45:00+01","AS Roma","Bologna FC 1909","1","0","FINISHED","100","0","22","62"
"536815","Serie A","2025-08-23 19:45:00+01","AC Milan","US Cremonese","1","2","FINISHED","33.33","66.67","23","63"
"536818","Serie A","2025-08-24 17:30:00+01","Cagliari Calcio","ACF Fiorentina","1","1","FINISHED","50","50","24","64"
"536820","Serie A","2025-08-24 17:30:00+01","Como 1907","SS Lazio","2","0","FINISHED","100","0","25","65"
"536822","Serie A","2025-08-24 19:45:00+01","Juventus FC","Parma Calcio 1913","2","0","FINISHED","100","0","26","66"
"536817","Serie A","2025-08-24 19:45:00+01","Atalanta BC","AC Pisa 1909","1","1","FINISHED","50","50","27","67"
"540406","Bundesliga","2025-08-22 19:30:00+01","FC Bayern München","RB Leipzig","6","0","FINISHED","100","0","28","68"
"540407","Bundesliga","2025-08-23 14:30:00+01","Eintracht Frankfurt","SV Werder Bremen","4","1","FINISHED","80","20","29","69"
"540409","Bundesliga","2025-08-23 14:30:00+01","SC Freiburg","FC Augsburg","1","3","FINISHED","25","75","30","70"
"540412","Bundesliga","2025-08-23 14:30:00+01","1. FC Union Berlin","VfB Stuttgart","2","1","FINISHED","66.67","33.33","31","71"
"540408","Bundesliga","2025-08-23 14:30:00+01","Bayer 04 Leverkusen","TSG 1899 Hoffenheim","1","2","FINISHED","33.33","66.67","32","72"
"540414","Bundesliga","2025-08-23 14:30:00+01","1. FC Heidenheim 1846","VfL Wolfsburg","1","3","FINISHED","25","75","33","73"
"540413","Bundesliga","2025-08-23 17:30:00+01","FC St. Pauli 1910","Borussia Dortmund","3","3","FINISHED","50","50","34","74"
"540410","Bundesliga","2025-08-24 14:30:00+01","1. FSV Mainz 05","1. FC Köln","0","1","FINISHED","0","100","35","75"
"540411","Bundesliga","2025-08-24 16:30:00+01","Borussia Mönchengladbach","Hamburger SV","0","0","FINISHED",NULL,NULL,"36","76"
"542422","Ligue 1","2025-08-22 19:45:00+01","Paris Saint-Germain FC","Angers SCO","1","0","FINISHED","100","0","37","77"
"542420","Ligue 1","2025-08-23 16:00:00+01","Olympique de Marseille","Paris FC","5","2","FINISHED","71.43","28.57","38","78"
"542418","Ligue 1","2025-08-23 18:00:00+01","OGC Nice","AJ Auxerre","3","1","FINISHED","75","25","39","79"
"542419","Ligue 1","2025-08-23 20:05:00+01","Olympique Lyonnais","FC Metz","3","0","FINISHED","100","0","40","80"
"542416","Ligue 1","2025-08-24 14:00:00+01","FC Lorient","Stade Rennais FC 1901","4","0","FINISHED","100","0","41","81"
"542417","Ligue 1","2025-08-24 16:15:00+01","Toulouse FC","Stade Brestois 29","2","0","FINISHED","100","0","42","82"
"542423","Ligue 1","2025-08-24 16:15:00+01","RC Strasbourg Alsace","FC Nantes","1","0","FINISHED","100","0","43","83"
"542415","Ligue 1","2025-08-24 16:15:00+01","Le Havre AC","Racing Club de Lens","1","2","FINISHED","33.33","66.67","44","84"
"542421","Ligue 1","2025-08-24 19:45:00+01","Lille OSC","AS Monaco FC","1","0","FINISHED","100","0","45","85"
